feature,importance
barrier_type_encoded,0.40000577395855963
latitude,0.19142305527723164
longitude,0.16102129768938528
neighborhood_avg_severity,0.0880828468058361
barrier_density,0.08669242006151194
permanent_barrier_pct,0.06909234038792963
is_permanent,0.0036822658195458362
